zip,county
31065,Laurens
31066,Crawford
31068,Macon
31069,Houston
31070,Dooly
31071,Wilcox
31072,Wilcox
31075,Laurens
31076,Taylor
31077,Dodge
31078,Crawford
31079,Wilcox
31081,Taylor
31082,Washington
31085,Jasper
31087,Hancock
31088,Houston
31089,Washington
31090,Wilkinson
31091,Dooly
31092,Dooly
31093,Houston
31094,Washington
31096,Johnson
31097,Upson
31098,Houston
31201,Bibb
31204,Bibb
31210,Bibb
31211,Bibb
31216,Bibb
31217,Bibb
31220,Bibb
31301,Liberty
31302,Chatham
31303,Effingham
31305,McIntosh
31308,Bryan
31309,Liberty
31312,Effingham
31313,Liberty
31314,Liberty
31315,Liberty
31316,Long
31320,Liberty
31321,Bryan
31322,Chatham
31323,Liberty
31324,Bryan
31326,Effingham
31328,Chatham
31329,Effingham
31331,McIntosh
31401,Chatham
31404,Chatham
31405,Chatham
31406,Chatham
31407,Chatham
31408,Chatham
31410,Chatham
31411,Chatham
31415,Chatham
31419,Chatham
31421,Chatham
31501,Ware
31503,Ware
31510,Bacon
31512,Coffee
31513,Appling
31516,Pierce
31518,Pierce
31519,Coffee
31520,Glynn
31522,Glynn
31523,Glynn
31525,Glynn
31527,Glynn
31532,Jeff Davis
31533,Coffee
31535,Coffee
31537,Charlton
31539,Jeff Davis
31542,Brantley
31543,Brantley
31544,Telfair
31545,Wayne
31206,Bibb
31546,Wayne
31547,Camden
31548,Camden
31549,Telfair
31550,Ware
31551,Pierce
31552,Ware
31553,Brantley
31554,Coffee
31555,Wayne
31557,Pierce
31558,Camden
31560,Wayne
31562,Charlton
31563,Appling
31565,Camden
31566,Brantley
31567,Coffee
31568,Camden
31569,Camden
31601,Lowndes
31602,Lowndes
31605,Lowndes
31606,Lowndes
31620,Cook
31622,Berrien
31624,Atkinson
31625,Brooks
31626,Thomas
31629,Brooks
31630,Clinch
31631,Clinch
31632,Lowndes
31634,Clinch
31635,Lanier
31636,Lowndes
31637,Cook
31638,Brooks
31639,Berrien
31641,Lowndes
31642,Atkinson
31643,Brooks
31645,Berrien
31647,Cook
31648,Echols
31649,Lanier
31650,Atkinson
31701,Dougherty
31705,Dougherty
31707,Dougherty
31709,Sumter
31711,Sumter
31712,Crisp
31714,Turner
31716,Mitchell
31719,Sumter
31721,Dougherty
31730,Mitchell
31733,Tift
31735,Sumter
31738,Thomas
31743,Sumter
31744,Colquitt
31749,Berrien
31750,Ben Hill
31756,Colquitt
31757,Thomas
31763,Lee
31764,Sumter
31765,Thomas
31768,Colquitt
31771,Colquitt
31772,Worth
31773,Thomas
31774,Irwin
31775,Tift
31778,Thomas
31779,Mitchell
31780,Sumter
31781,Worth
31783,Turner
31784,Mitchell
31787,Lee
31788,Colquitt
31789,Worth
31790,Turner
31791,Worth
31792,Thomas
31793,Tift
31794,Tift
31795,Tift
31796,Worth
31798,Irwin
31801,Talbot
31803,Marion
31804,Harris
31805,Chattahoochee
31806,Schley
31807,Harris
31808,Muscogee
31811,Harris
31812,Talbot
31815,Stewart
31816,Meriwether
31820,Muscogee
31821,Stewart
31822,Harris
31823,Harris
31824,Webster
31825,Stewart
31826,Harris
31827,Talbot
31829,Muscogee
31830,Meriwether
31831,Harris
31832,Webster
31833,Troup
31836,Talbot
31901,Muscogee
31903,Muscogee
31904,Muscogee
31905,Muscogee
31906,Muscogee
31907,Muscogee
31909,Muscogee
39813,Calhoun
39815,Decatur
39817,Decatur
39819,Decatur
39823,Early
39824,Clay
39825,Decatur
39826,Terrell
39827,Grady
39828,Grady
39834,Decatur
39836,Randolph
39837,Miller
39840,Randolph
39841,Early
39842,Terrell
39845,Seminole
39846,Calhoun
39851,Clay
39854,Quitman
39859,Seminole
39861,Early
39862,Calhoun
39866,Calhoun
39867,Quitman
39870,Baker
39877,Terrell
39886,Randolph
39897,Grady
