county,use_date,total_cases,deaths
Appling,2021-03-05,1,0
Appling,2021-03-06,2,0
Appling,2021-03-07,1,0
Appling,2021-03-08,0,0
Appling,2021-03-09,7,0
Appling,2021-03-10,4,0
Appling,2021-03-11,3,0
Appling,2021-03-12,2,1
Appling,2021-03-13,3,0
Appling,2021-03-14,0,0
Appling,2021-03-15,1,0
Appling,2021-03-16,3,0
Appling,2021-03-17,5,0
Appling,2021-03-18,1,0
Appling,2021-03-19,1,1
Appling,2021-03-20,1,0
Appling,2021-03-21,1,0
Appling,2021-03-22,1,0
Appling,2021-03-23,1,0
Appling,2021-03-24,1,0
Appling,2021-03-25,1,1
Appling,2021-03-26,3,0
Appling,2021-03-27,0,0
Appling,2021-03-28,1,0
Appling,2021-03-29,0,0
Appling,2021-03-30,0,0
Appling,2021-03-31,4,0
Atkinson,2020-09-01,2,0
Atkinson,2020-09-02,0,0
Atkinson,2020-09-03,3,0
Atkinson,2020-09-04,1,0
Atkinson,2020-09-05,2,0
Atkinson,2020-09-06,0,0
Atkinson,2020-09-07,2,0
Atkinson,2020-09-08,2,0
Atkinson,2020-09-09,3,0
Atkinson,2020-09-10,2,0
Atkinson,2020-09-11,6,0
Atkinson,2020-09-12,2,0
Atkinson,2020-09-13,1,0
Atkinson,2020-09-14,3,0
Atkinson,2020-09-15,1,0
Atkinson,2020-09-16,2,0
Atkinson,2020-09-17,0,0
Atkinson,2020-09-18,1,0
Atkinson,2020-09-19,1,0
Atkinson,2020-09-20,0,0
Atkinson,2020-09-21,2,0
Atkinson,2020-09-22,2,0
Atkinson,2020-09-23,4,0
Atkinson,2020-09-24,3,0
Atkinson,2020-09-25,0,0
Atkinson,2020-09-26,0,0
Atkinson,2020-09-27,1,0
Atkinson,2020-09-28,0,0
Atkinson,2020-09-29,3,0
Atkinson,2020-09-30,1,0
Atkinson,2020-10-01,1,0
Atkinson,2020-10-02,0,0
Atkinson,2020-10-03,0,0
Atkinson,2020-10-04,1,0
Atkinson,2020-10-05,0,0
Atkinson,2020-10-06,3,1
Atkinson,2020-10-07,1,0
Atkinson,2020-10-08,0,0
Atkinson,2020-10-09,6,0
Atkinson,2020-10-10,1,0
Atkinson,2020-10-11,0,0
Atkinson,2020-10-12,7,0
Atkinson,2020-10-13,0,0
Atkinson,2020-10-14,3,0
Atkinson,2020-10-15,3,0
Atkinson,2020-10-16,3,0
Atkinson,2020-10-17,1,1
Atkinson,2020-10-18,1,0
Atkinson,2020-10-19,2,0
Atkinson,2020-10-20,0,0
Atkinson,2020-10-21,1,0
Atkinson,2020-10-22,1,0
Atkinson,2020-10-23,1,0
Atkinson,2020-10-24,1,1
Atkinson,2020-10-25,1,0
Atkinson,2020-10-26,0,0
Atkinson,2020-10-27,0,0
Atkinson,2020-10-28,2,0
Atkinson,2020-10-29,1,0
Atkinson,2020-10-30,2,0
Atkinson,2020-10-31,0,0
Atkinson,2020-11-01,1,0
Atkinson,2020-11-02,2,1
Atkinson,2020-11-03,2,0
Atkinson,2020-11-04,2,0
Atkinson,2020-11-05,0,0
Atkinson,2020-11-06,0,0
Atkinson,2020-11-07,2,0
Atkinson,2020-11-08,1,0
Atkinson,2020-11-09,1,0
Atkinson,2020-11-10,1,0
Atkinson,2020-11-11,0,0
Atkinson,2020-11-12,4,1
Atkinson,2020-11-13,3,0
Atkinson,2020-11-14,2,0
Atkinson,2020-11-15,1,0
Atkinson,2020-11-16,3,0
Atkinson,2020-11-17,3,0
Atkinson,2020-11-18,2,0
Atkinson,2020-11-19,2,0
Atkinson,2020-11-20,6,1
Atkinson,2020-11-21,3,0
Atkinson,2020-11-22,1,0
Atkinson,2020-11-23,0,0
Atkinson,2020-11-24,6,0
Atkinson,2020-11-25,4,0
Atkinson,2020-11-26,3,0
Atkinson,2020-11-27,2,0
Atkinson,2020-11-28,3,0
Atkinson,2020-11-29,3,0
Atkinson,2020-11-30,1,0
Atkinson,2020-12-01,1,0
Atkinson,2020-12-02,8,0
Atkinson,2020-12-03,1,0
Atkinson,2020-12-04,5,0
Atkinson,2020-12-05,3,0
Atkinson,2020-12-06,0,0
Atkinson,2020-12-07,7,0
Atkinson,2020-12-08,6,0
Atkinson,2020-12-09,0,0
Atkinson,2020-12-10,1,0
Atkinson,2020-12-11,11,0
Atkinson,2020-12-12,4,0
Atkinson,2020-12-13,2,0
Atkinson,2020-12-14,6,0
Atkinson,2020-12-15,6,0
Atkinson,2020-12-16,5,0
Atkinson,2020-12-17,11,0
Atkinson,2020-12-18,2,0
Atkinson,2020-12-19,18,0
Atkinson,2020-12-20,2,0
Atkinson,2020-12-21,4,0
Atkinson,2020-12-22,5,0
Atkinson,2020-12-23,8,0
Atkinson,2020-12-24,12,0
Atkinson,2020-12-25,5,0
Atkinson,2020-12-26,3,0
Atkinson,2020-12-27,9,0
